as_of_date,region,covid_hosp,covid_icu,covid_intube,yearid,covid_hosp_pop,date_num,Date
2020-04-23T04:00:00Z,New York City,9070,2849,2433,2020,103.019,114,"4/23/20<br>Daily count: 9,070"
2020-04-23T04:00:00Z,Long Island,2977,944,769,2020,101.893,114,"4/23/20<br>Daily count: 2,977"
2020-04-23T04:00:00Z,Lower Hudson Valley,1515,476,407,2020,70.871,114,"4/23/20<br>Daily count: 1,515"
2020-04-24T04:00:00Z,New York City,8621,2783,2398,2020,97.919,115,"4/24/20<br>Daily count: 8,621"
2020-04-24T04:00:00Z,Long Island,2765,904,727,2020,94.637,115,"4/24/20<br>Daily count: 2,765"
2020-04-24T04:00:00Z,Lower Hudson Valley,1444,458,388,2020,67.55,115,"4/24/20<br>Daily count: 1,444"
2020-04-25T04:00:00Z,New York City,8114,2708,2325,2020,92.161,116,"4/25/20<br>Daily count: 8,114"
2020-04-25T04:00:00Z,Long Island,2633,874,693,2020,90.119,116,"4/25/20<br>Daily count: 2,633"
2020-04-25T04:00:00Z,Lower Hudson Valley,1424,450,378,2020,66.614,116,"4/25/20<br>Daily count: 1,424"
2020-04-26T04:00:00Z,New York City,8130,2629,2262,2020,92.342,117,"4/26/20<br>Daily count: 8,130"
2020-04-26T04:00:00Z,Long Island,2559,831,665,2020,87.586,117,"4/26/20<br>Daily count: 2,559"
2020-04-26T04:00:00Z,Lower Hudson Valley,1440,440,383,2020,67.363,117,"4/26/20<br>Daily count: 1,440"
2020-04-27T04:00:00Z,New York City,7995,2583,2247,2020,90.809,118,"4/27/20<br>Daily count: 7,995"
2020-04-27T04:00:00Z,Long Island,2541,801,631,2020,86.97,118,"4/27/20<br>Daily count: 2,541"
2020-04-27T04:00:00Z,Lower Hudson Valley,1411,428,367,2020,66.006,118,"4/27/20<br>Daily count: 1,411"
2020-04-28T04:00:00Z,New York City,7667,2497,2176,2020,87.084,119,"4/28/20<br>Daily count: 7,667"
2020-04-28T04:00:00Z,Long Island,2415,743,599,2020,82.658,119,"4/28/20<br>Daily count: 2,415"
2020-04-28T04:00:00Z,Lower Hudson Valley,1381,422,343,2020,64.603,119,"4/28/20<br>Daily count: 1,381"
2020-04-29T04:00:00Z,New York City,7338,2405,2095,2020,83.347,120,"4/29/20<br>Daily count: 7,338"
2020-04-29T04:00:00Z,Long Island,2262,716,573,2020,77.421,120,"4/29/20<br>Daily count: 2,262"
2020-04-29T04:00:00Z,Lower Hudson Valley,1313,396,325,2020,61.422,120,"4/29/20<br>Daily count: 1,313"
2020-04-30T04:00:00Z,New York City,6962,2327,2001,2020,79.076,121,"4/30/20<br>Daily count: 6,962"
2020-04-30T04:00:00Z,Long Island,2121,690,562,2020,72.595,121,"4/30/20<br>Daily count: 2,121"
2020-04-30T04:00:00Z,Lower Hudson Valley,1243,374,308,2020,58.147,121,"4/30/20<br>Daily count: 1,243"
2020-05-01T04:00:00Z,New York City,6497,2227,1902,2020,73.794,122,"5/1/20<br>Daily count: 6,497"
2020-05-01T04:00:00Z,Long Island,2012,680,559,2020,68.864,122,"5/1/20<br>Daily count: 2,012"
2020-05-01T04:00:00Z,Lower Hudson Valley,1187,362,298,2020,55.528,122,"5/1/20<br>Daily count: 1,187"
2020-05-02T04:00:00Z,New York City,6109,2181,1844,2020,69.387,123,"5/2/20<br>Daily count: 6,109"
2020-05-02T04:00:00Z,Long Island,1902,669,528,2020,65.099,123,"5/2/20<br>Daily count: 1,902"
2020-05-02T04:00:00Z,Lower Hudson Valley,1136,355,289,2020,53.142,123,"5/2/20<br>Daily count: 1,136"
2020-05-03T04:00:00Z,New York City,6021,2096,1796,2020,68.388,124,"5/3/20<br>Daily count: 6,021"
2020-05-03T04:00:00Z,Long Island,1846,653,504,2020,63.183,124,"5/3/20<br>Daily count: 1,846"
2020-05-03T04:00:00Z,Lower Hudson Valley,1121,347,284,2020,52.44,124,"5/3/20<br>Daily count: 1,121"
