as_of_date,region_orig,covid_hosp,yearid,covid_hosp_pop,date_num,Date
2020-06-20,New York City,594,2020,6.747,172,6/20/20<br>Daily count: 594
2020-06-21,Long Island,152,2020,5.202,173,6/21/20<br>Daily count: 152
2020-06-21,Lower Hudson Valley,118,2020,5.52,173,6/21/20<br>Daily count: 118
2020-06-21,New York City,595,2020,6.758,173,6/21/20<br>Daily count: 595
2020-06-22,Long Island,152,2020,5.202,174,6/22/20<br>Daily count: 152
2020-06-22,Lower Hudson Valley,115,2020,5.38,174,6/22/20<br>Daily count: 115
2020-06-22,New York City,579,2020,6.576,174,6/22/20<br>Daily count: 579
2020-06-23,Long Island,151,2020,5.168,175,6/23/20<br>Daily count: 151
2020-06-23,Lower Hudson Valley,102,2020,4.772,175,6/23/20<br>Daily count: 102
2020-06-23,New York City,571,2020,6.486,175,6/23/20<br>Daily count: 571
2020-06-24,Long Island,142,2020,4.86,176,6/24/20<br>Daily count: 142
2020-06-24,Lower Hudson Valley,99,2020,4.631,176,6/24/20<br>Daily count: 99
2020-06-24,New York City,533,2020,6.054,176,6/24/20<br>Daily count: 533
2020-06-25,Long Island,142,2020,4.86,177,6/25/20<br>Daily count: 142
2020-06-25,Lower Hudson Valley,95,2020,4.444,177,6/25/20<br>Daily count: 95
2020-06-25,New York City,499,2020,5.668,177,6/25/20<br>Daily count: 499
2020-06-26,Long Island,132,2020,4.518,178,6/26/20<br>Daily count: 132
2020-06-26,Lower Hudson Valley,93,2020,4.351,178,6/26/20<br>Daily count: 93
2020-06-26,New York City,473,2020,5.372,178,6/26/20<br>Daily count: 473
2020-06-27,Long Island,125,2020,4.278,179,6/27/20<br>Daily count: 125
2020-06-27,Lower Hudson Valley,93,2020,4.351,179,6/27/20<br>Daily count: 93
2020-06-27,New York City,453,2020,5.145,179,6/27/20<br>Daily count: 453
2020-06-28,Long Island,121,2020,4.141,180,6/28/20<br>Daily count: 121
2020-06-28,Lower Hudson Valley,86,2020,4.023,180,6/28/20<br>Daily count: 86
2020-06-28,New York City,443,2020,5.032,180,6/28/20<br>Daily count: 443
2020-06-29,Long Island,135,2020,4.621,181,6/29/20<br>Daily count: 135
2020-06-29,Lower Hudson Valley,82,2020,3.836,181,6/29/20<br>Daily count: 82
2020-06-29,New York City,461,2020,5.236,181,6/29/20<br>Daily count: 461
2020-06-30,Long Island,131,2020,4.484,182,6/30/20<br>Daily count: 131
2020-06-30,Lower Hudson Valley,88,2020,4.117,182,6/30/20<br>Daily count: 88
2020-06-30,New York City,440,2020,4.998,182,6/30/20<br>Daily count: 440
2020-07-01,Long Island,134,2020,4.586,183,7/1/20<br>Daily count: 134
2020-07-01,Lower Hudson Valley,86,2020,4.023,183,7/1/20<br>Daily count: 86
2020-07-01,New York City,443,2020,5.032,183,7/1/20<br>Daily count: 443
2020-07-02,Long Island,124,2020,4.244,184,7/2/20<br>Daily count: 124
2020-07-02,Lower Hudson Valley,84,2020,3.93,184,7/2/20<br>Daily count: 84
2020-07-02,New York City,432,2020,4.907,184,7/2/20<br>Daily count: 432
2020-07-03,Long Island,120,2020,4.107,185,7/3/20<br>Daily count: 120
2020-07-03,Lower Hudson Valley,87,2020,4.07,185,7/3/20<br>Daily count: 87
2020-07-03,New York City,424,2020,4.816,185,7/3/20<br>Daily count: 424
2020-07-04,Long Island,112,2020,3.833,186,7/4/20<br>Daily count: 112
2020-07-04,Lower Hudson Valley,85,2020,3.976,186,7/4/20<br>Daily count: 85
2020-07-04,New York City,422,2020,4.793,186,7/4/20<br>Daily count: 422
2020-07-05,Long Island,107,2020,3.662,187,7/5/20<br>Daily count: 107
2020-07-05,Lower Hudson Valley,79,2020,3.696,187,7/5/20<br>Daily count: 79
2020-07-05,New York City,421,2020,4.782,187,7/5/20<br>Daily count: 421
2020-07-06,Long Island,104,2020,3.56,188,7/6/20<br>Daily count: 104
2020-07-06,Lower Hudson Valley,85,2020,3.976,188,7/6/20<br>Daily count: 85
2020-07-06,New York City,418,2020,4.748,188,7/6/20<br>Daily count: 418
2020-07-07,Long Island,102,2020,3.491,189,7/7/20<br>Daily count: 102
2020-07-07,Lower Hudson Valley,78,2020,3.649,189,7/7/20<br>Daily count: 78
2020-07-07,New York City,430,2020,4.884,189,7/7/20<br>Daily count: 430
2020-07-08,Long Island,99,2020,3.388,190,7/8/20<br>Daily count: 99
2020-07-08,Lower Hudson Valley,78,2020,3.649,190,7/8/20<br>Daily count: 78
2020-07-08,New York City,447,2020,5.077,190,7/8/20<br>Daily count: 447
2020-07-09,Long Island,106,2020,3.628,191,7/9/20<br>Daily count: 106
2020-07-09,Lower Hudson Valley,65,2020,3.041,191,7/9/20<br>Daily count: 65
2020-07-09,New York City,419,2020,4.759,191,7/9/20<br>Daily count: 419
2020-07-10,Long Island,93,2020,3.183,192,7/10/20<br>Daily count: 93
